Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
BARNARD 153;;;Dark Nebula;Cepheus;"21h 21' 00""""";"56º 26' 00""""";;1º x 1º;;;"21h 21' 45""""";"56º 32' 29"""""
BARNARD 175;;;Dark Nebula;Cepheus;"22h 14' 00""""";"69º 54' 00""""";;1º x 1º;;;"22h 14' 36""""";"70º 01' 32"""""
LBN 339;;LBN 083.92+02.55;HII Region;Cygnus;"20h 38' 00""""";"45º 24' 00""""";;50' x 5';;;"20h 38' 51""""";"45º 29' 22"""""
LDN 1247;;;Dark Nebula;Cepheus;"22h 21' 54""""";"75º 06' 00""""";;44' x 30';;;"22h 22' 19""""";"75º 13' 39"""""
BARNARD 142;;;Dark Nebula;Aquila;"19h 39' 42""""";"10º 31' 00""""";;40' x 40';;;"19h 40' 54""""";"10º 34' 34"""""
CL COLLINDER 95;;OCL 491.0;Open Cluster;Monoceros;"06h 31' 09""""";"09º 53' 38""""";;21' x 21';;;"06h 32' 32""""";"09º 52' 28"""""
NGC 7160;;OCL 236,OCL 236.0;Open Cluster;Cepheus;"21h 53' 48""""";"62º 35' 18""""";06.sty;9' x 9';45706;;"21h 54' 31""""";"62º 42' 28"""""
LDN 1003;;;Dark Nebula;Cygnus;"20h 59' 32""""";"52º 21' 42""""";;2.8º x 2.8º;;;"21h 00' 19""""";"52º 27' 39"""""
LBN 393;;LBN 087.34-03.44;HII Region;Cygnus;"21h 16' 00""""";"44º 00' 00""""";;25' x 10';;;"21h 16' 56""""";"44º 06' 22"""""
LDN 1646;;;Dark Nebula;Monoceros;"06h 07' 24""""";"-06º 00' 00""""";;1.8º x 1.8º;;;"06h 08' 38""""";"-06º 00' 18"""""
SH 2-150;;LBN 520,LBN 108.88+06.09,IRAS 22276+6435,IRAS 22277+6433;HII Region;Cepheus;"22h 29' 16""""";"64º 51' 08""""";;40';;;"22h 30' 06""""";"64º 58' 54"""""
NGC 6940;;CL MELOTTE 232,OCL 141.0;Open Cluster;Vulpecula;"20h 34' 30""""";"28º 16' 41""""";06.mar;30' x 30';45921;;"20h 35' 33""""";"28º 21' 57"""""
BARNARD 358;;;Dark Nebula;Cygnus;"21h 05' 42""""";"43º 16' 00""""";;18' x 13';;;"21h 06' 38""""";"43º 22' 06"""""
LDN 839;;;Dark Nebula;Cygnus;"19h 59' 54""""";"34º 08' 00""""";;1.2º x 1.2º;;;"20h 00' 52""""";"34º 12' 13"""""
LBN 777;;LBN 168.10-19.04;Reflection Nebula;Taurus;"04h 05' 00""""";"26º 24' 00""""";;20' x 18';;;"04h 06' 32""""";"26º 28' 01"""""
LDN 1035;;;Dark Nebula;Cygnus;"21h 44' 42""""";"47º 44' 00""""";;20' x 20';;;"21h 45' 39""""";"47º 51' 00"""""
LDN 1029;;;Dark Nebula;Cygnus;"21h 01' 30""""";"54º 12' 00""""";;3.2º x 3.2º;;;"21h 02' 15""""";"54º 18' 00"""""
SH 2-278;;LBN 956,LBN 207.29-22.66;HII Region;Orion;"05h 19' 54""""";"-05º 39' 00""""";;50';;;"05h 21' 08""""";"-05º 37' 33"""""
SH 2-50;;LBN 62,LBN 016.31-00.12;HII Region;Scutum;"18h 25' 36""""";"-14º 42' 00""""";;35';;;"18h 27' 02""""";"-14º 41' 02"""""
CL COLLINDER 105;;CL TRUMPLER 5;Open Cluster;Monoceros;"06h 36' 30""""";"09º 27' 54""""";;16' x 16';;;"06h 37' 53""""";"09º 26' 32"""""
LDN 388;;;Dark Nebula;Scutum;"18h 32' 48""""";"-14º 13' 00""""";;2.4º x 2.4º;;;"18h 34' 14""""";"-14º 11' 46"""""
LBN 269;;LBN 079.74-06.78;HII Region;Cygnus;"21h 02' 00""""";"36º 12' 00""""";;2.2º x 20';;;"21h 03' 00""""";"36º 18' 01"""""
LBN 611;;LBN 122.62-05.61;HII Region;Cassiopeia;"00h 49' 00""""";"57º 18' 00""""";;10' x 3';;;"00h 50' 29""""";"57º 26' 13"""""
LDN 1228;;;Dark Nebula;Cepheus;"20h 57' 13""""";"77º 35' 48""""";;20' x 20';;;"20h 56' 40""""";"77º 41' 40"""""
LBN 975;;LBN 209.16-29.33;HII Region;Eridanus;"04h 59' 00""""";"-09º 54' 00""""";;2º x 30';;;"05h 00' 12""""";"-09º 51' 49"""""
LBN 346;;LBN 084.22-08.36;HII Region;Cygnus;"21h 23' 00""""";"38º 24' 00""""";;1.7º x 30';;;"21h 24' 01""""";"38º 30' 32"""""
SH 2-145;;;HII Region;Cepheus;"22h 25' 30""""";"64º 18' 00""""";;1.5º;;;"22h 26' 19""""";"64º 25' 43"""""
NGC 886;;;Open Cluster;Cassiopeia;"02h 23' 35""""";"63º 48' 00""""";;41' x 41';;;"02h 25' 33""""";"63º 54' 48"""""
NGC 1560;;IC 2062,MCG +12-05-005,PGC 15488,UGC 3060,Z 328-6,Z 0427.1+7147,IRAS 04271+7146;Spiral Galaxy;Camelopardalis;"04h 32' 49""""";"71º 52' 59""""";11.kwi;9.6' x 1.6';23.0;;"04h 35' 42""""";"71º 56' 04"""""
LDN 954;;;Dark Nebula;Cygnus;"21h 01' 42""""";"47º 12' 00""""";;40' x 40';;;"21h 02' 34""""";"47º 18' 00"""""
NGC 1647;;OCL 457.0,CL MELOTTE 26;Open Cluster;Taurus;"04h 45' 55""""";"19º 04' 44""""";06.kwi;50' x 50';23.0;;"04h 47' 24""""";"19º 07' 23"""""
LDN 1370;;;Dark Nebula;Cassiopeia;"02h 31' 45""""";"60º 28' 15""""";;11' x 11';;;"02h 33' 39""""";"60º 34' 52"""""
LBN 326;;LBN 083.03+05.78;HII Region;Cygnus;"20h 20' 00""""";"46º 30' 00""""";;1.3º x 10';;;"20h 20' 48""""";"46º 34' 50"""""
LBN 748;;LBN 159.39-14.36;HII Region;Perseus;"03h 51' 00""""";"35º 24' 00""""";;40' x 30';;;"03h 52' 38""""";"35º 28' 28"""""
CL COLLINDER 421;;OCL 184.0;Open Cluster;Cygnus;"20h 23' 19""""";"41º 42' 04""""";;17' x 17';;;"20h 24' 12""""";"41º 47' 00"""""
LBN 999;;LBN 213.91-12.48;Reflection Nebula;Monoceros;"06h 08' 00""""";"-06º 30' 00""""";;15' x 10';;;"06h 09' 14""""";"-06º 30' 19"""""
NGC 6819;;CL MELOTTE 223;Open Cluster;Cygnus;"19h 41' 18""""";"40º 11' 24""""";07.mar;11' x 11';45766;;"19h 42' 10""""";"40º 15' 01"""""
CL DOLIDZE 8;;;Open Cluster;Cygnus;"20h 24' 31""""";"42º 18' 00""""";;10' x 10';;;"20h 25' 24""""";"42º 22' 58"""""
SH 2-235;;;HII Region;Auriga;"05h 41' 06""""";"35º 50' 00""""";;10';;;"05h 42' 48""""";"35º 50' 40"""""
LDN 393;;;Dark Nebula;Ophiuchus;"17h 44' 42""""";"-07º 11' 00""""";;4.5º x 4.5º;;;"17h 46' 04""""";"-07º 11' 32"""""
BARNARD 364;;;Dark Nebula;Cygnus;"21h 34' 00""""";"54º 30' 00""""";;1.2º x 1.2º;;;"21h 34' 49""""";"54º 36' 46"""""
NGC 1528;;OCL 397.0,CL MELOTTE 23;Open Cluster;Perseus;"04h 15' 31""""";"51º 13' 05""""";06.kwi;28' x 28';45737;;"04h 17' 26""""";"51º 16' 45"""""
BARNARD 111;;;Dark Nebula;Scutum;"18h 50' 00""""";"-05º 00' 00""""";;2º x 2º;;;"18h 51' 20""""";"-04º 58' 09"""""
LBN 288;;LBN 080.61+01.42;HII Region;Cygnus;"20h 32' 00""""";"42º 00' 00""""";;45' x 20';;;"20h 32' 54""""";"42º 05' 11"""""
LBN 682;;LBN 142.14+01.97,CED 14;Reflection Nebula;Camelopardalis;"03h 29' 00""""";"58º 54' 00""""";;35' x 20';;;"03h 31' 02""""";"58º 59' 07"""""
NGC 129;;OCL 294;Open Cluster;Cassiopeia;"00h 30' 26""""";"60º 12' 47""""";06.maj;20' x 20';45797;;"00h 31' 51""""";"60º 21' 07"""""
LDN 1248;;;Dark Nebula;Cassiopeia;"23h 32' 18""""";"62º 17' 00""""";;2.1º x 2.1º;;;"23h 33' 28""""";"62º 25' 21"""""
LDN 1632;;;Dark Nebula;Orion;"05h 59' 36""""";"00º 30' 00""""";;1.5º x 1.5º;;;"06h 00' 54""""";"00º 29' 59"""""
LBN 264;;LBN 079.62+06.08;HII Region;Cygnus;"20h 08' 00""""";"43º 48' 00""""";;1.2º x 5';;;"20h 08' 50""""";"43º 52' 28"""""
LDN 342;;;Dark Nebula;Sagittarius;"18h 21' 54""""";"-17º 39' 00""""";;54' x 54';;;"18h 23' 22""""";"-17º 38' 10"""""
BARNARD 353;;;Dark Nebula;Cygnus;"20h 57' 24""""";"45º 28' 00""""";;12' x 8';;;"20h 58' 17""""";"45º 33' 53"""""
NGC 6366;;CL MELOTTE 173;Globular Cluster;Ophiuchus;"17h 27' 44""""";"-05º 04' 47""""";09.maj;28' x 28';45861;;"17h 29' 05""""";"-05º 05' 57"""""
LDN 740;;;Dark Nebula;Vulpecula;"19h 28' 12""""";"20º 06' 00""""";;2º x 2º;;;"19h 29' 18""""";"20º 09' 11"""""
BARNARD 4;;;Dark Nebula;Perseus;"03h 44' 00""""";"31º 47' 00""""";;45' x 45';;;"03h 45' 35""""";"31º 51' 41"""""
NGC 1342;;CL MELOTTE 21;Open Cluster;Perseus;"03h 31' 35""""";"37º 22' 48""""";06.lip;35' x 35';45798;;"03h 33' 13""""";"37º 27' 51"""""
LBN 819;;LBN 177.84-20.28;HII Region;Taurus;"04h 28' 00""""";"18º 48' 00""""";;2.5º x 20';;;"04h 29' 28""""";"18º 51' 16"""""
SH 2-223;;LBN 768,LBN 165.93+02.44;HII Region;Auriga;"05h 17' 18""""";"42º 12' 00""""";;1.2º;;;"05h 19' 05""""";"42º 13' 32"""""
SH 2-88;;LBN 139,LBN 061.50+00.29;HII Region;Vulpecula;"19h 46' 46""""";"25º 12' 56""""";;25';;;"19h 47' 49""""";"25º 16' 44"""""
LBN 1010;;LBN 217.12-21.07;HII Region;Lepus;"05h 42' 00""""";"-13º 00' 00""""";;3.3º x 10';;;"05h 43' 10""""";"-12º 59' 22"""""
LBN 285;;LBN 080.43+00.82;HII Region;Cygnus;"20h 34' 00""""";"41º 30' 00""""";;50' x 45';;;"20h 34' 54""""";"41º 35' 15"""""
OCL 126;;CL ROSLUND 2;Open Cluster;Vulpecula;"19h 45' 03""""";"23º 58' 37""""";;19' x 19';;;"19h 46' 07""""";"24º 02' 21"""""
LDN 1167;;;Dark Nebula;Cepheus;"21h 03' 42""""";"67º 02' 00""""";;15' x 15';;;"21h 04' 04""""";"67º 08' 03"""""
NGC 7686;;;Open Cluster;Andromeda;"23h 29' 41""""";"49º 10' 12""""";05.cze;15';45677;;"23h 30' 53""""";"49º 18' 32"""""
NGC 2395;;CL COLLINDER 144,OCL 502;Open Cluster;Gemini;"07h 27' 06""""";"13º 35' 00""""";8.0;14' x 14';45799;;"07h 28' 31""""";"13º 31' 51"""""
LBN 947;;LBN 206.29+01.55;HII Region;Monoceros;"06h 45' 00""""";"06º 36' 00""""";;1º x 10';;;"06h 46' 21""""";"06º 34' 20"""""
BARNARD 312;;;Dark Nebula;Scutum;"18h 32' 00""""";"-15º 36' 00""""";;1.3º x 1.3º;;;"18h 33' 27""""";"-15º 34' 48"""""
LBN 442;;LBN 097.54-15.12;HII Region;Lacerta;"22h 38' 00""""";"41º 06' 00""""";;1.8º x 30';;;"22h 39' 07""""";"41º 13' 53"""""
LDN 858;;;Dark Nebula;Cygnus;"20h 11' 06""""";"34º 57' 00""""";;27' x 27';;;"20h 12' 04""""";"35º 01' 34"""""
NGC 1907;;OCL 434,CL MELOTTE 35;Open Cluster;Auriga;"05h 28' 08""""";"35º 19' 48""""";08.lut;9' x 9';45736;;"05h 29' 49""""";"35º 20' 56"""""
LBN 243;;LBN 078.37+04.63;HII Region;Cygnus;"20h 11' 00""""";"41º 54' 00""""";;30' x 20';;;"20h 11' 52""""";"41º 58' 34"""""
BARNARD 143;;LDN 694;Dark Nebula;Aquila;"19h 40' 42""""";"10º 57' 00""""";;26' x 15';;;"19h 41' 54""""";"11º 00' 36"""""
LBN 726;;LBN 156.05-23.42;HII Region;Aries;"03h 13' 00""""";"30º 12' 00""""";;6º x 5.5º;;;"03h 14' 32""""";"30º 17' 35"""""
LBN 376;;LBN 085.94+04.31;HII Region;Cygnus;"20h 37' 00""""";"48º 00' 00""""";;50' x 2';;;"20h 37' 48""""";"48º 05' 20"""""
LBN 319;;LBN 082.39-02.19;HII Region;Cygnus;"20h 53' 00""""";"41º 12' 00""""";;35' x 15';;;"20h 53' 56""""";"41º 17' 47"""""
BARNARD 112;;;Dark Nebula;Scutum;"18h 51' 06""""";"-06º 40' 00""""";;18';;;"18h 52' 27""""";"-06º 38' 07"""""
LBN 390;;LBN 087.10-03.43;HII Region;Cygnus;"21h 15' 00""""";"43º 54' 00""""";;20' x 10';;;"21h 15' 56""""";"44º 00' 20"""""
LDN 357;;;Dark Nebula;Serpens;"18h 15' 54""""";"-15º 44' 00""""";;23' x 23';;;"18h 17' 21""""";"-15º 43' 23"""""
IC 1287;;LBN 75,CED 163;Reflection Nebula;Scutum;"18h 32' 00""""";"-10º 48' 00""""";;20' x 10';;;"18h 33' 24""""";"-10º 46' 48"""""
LDN 1180;;;Dark Nebula;Cepheus;"22h 26' 48""""";"59º 15' 00""""";;2.7º x 2.7º;;;"22h 27' 43""""";"59º 22' 44"""""
LDN 353;;;Dark Nebula;Sagittarius;"18h 32' 54""""";"-18º 18' 00""""";;1.8º x 1.8º;;;"18h 34' 22""""";"-18º 16' 46"""""
LBN 364;;LBN 085.30+06.32;HII Region;Cygnus;"20h 25' 00""""";"48º 42' 00""""";;1.8º x 30';;;"20h 25' 47""""";"48º 46' 59"""""
LDN 1518;;;Dark Nebula;Auriga;"05h 39' 24""""";"37º 02' 00""""";;2.2º x 2.2º;;;"05h 41' 07""""";"37º 02' 43"""""
NGC 6709;;OCL 100.0,CL MELOTTE 214;Open Cluster;Aquila;"18h 51' 21""""";"10º 20' 02""""";06.lip;17' x 17';45709;;"18h 52' 32""""";"10º 21' 55"""""
LDN 1054;;;Dark Nebula;Cygnus;"21h 34' 48""""";"50º 43' 00""""";;2.5º x 2.5º;;;"21h 35' 41""""";"50º 49' 47"""""
LBN 989;;LBN 212.27-17.51;HII Region;Orion;"05h 47' 00""""";"-07º 18' 00""""";;1º x 10';;;"05h 48' 13""""";"-07º 17' 33"""""
LBN 337;;LBN 083.77+03.32,CED 181;HII Region;Cygnus;"20h 34' 00""""";"45º 42' 00""""";;13' x 13';;;"20h 34' 50""""";"45º 47' 15"""""
LBN 311;;LBN 081.66-01.57;HII Region;Cygnus;"20h 48' 00""""";"41º 00' 00""""";;40' x 40';;;"20h 48' 56""""";"41º 05' 38"""""
LBN 501;;LBN 106.30-00.11;HII Region;Cepheus;"22h 39' 00""""";"58º 30' 00""""";;25' x 15';;;"22h 39' 58""""";"58º 37' 54"""""
LDN 1200;;;Dark Nebula;Cepheus;"22h 45' 59""""";"58º 45' 54""""";;9' x 9';;;"22h 46' 59""""";"58º 53' 53"""""
LDN 649;;;Dark Nebula;Aquila;"19h 12' 24""""";"08º 40' 00""""";;4.8º x 4.8º;;;"19h 13' 37""""";"08º 42' 38"""""
CL MELOTTE 186;;CL COLLINDER 359,OCL 84.0;Open Cluster;Ophiuchus;"18h 02' 23""""";"03º 15' 36""""";;3.1º x 3.1º;;;"18h 03' 39""""";"03º 15' 43"""""
BARNARD 5;;LDN 1471;Dark Nebula;Perseus;"03h 48' 00""""";"32º 54' 00""""";;1º;;;"03h 49' 36""""";"32º 58' 33"""""
LBN 592;;LBN 119.33-00.89;HII Region;Cassiopeia;"00h 21' 00""""";"61º 48' 00""""";;20' x 5';;;"00h 22' 23""""";"61º 56' 22"""""
NGC 2423;;CL MELOTTE 70;Open Cluster;Puppis;"07h 37' 12""""";"-13º 51' 47""""";06.lip;32' x 32';45858;;"07h 38' 22""""";"-13º 55' 16"""""
LBN 799;;LBN 173.17-17.99;HII Region;Taurus;"04h 23' 00""""";"23º 36' 00""""";;2.3º x 10';;;"04h 24' 31""""";"23º 39' 26"""""
SH 2-113;;LBN 333,LBN 083.70-08.31;HII Region;Cygnus;"21h 20' 48""""";"38º 05' 00""""";;15';;;"21h 21' 49""""";"38º 11' 28"""""
LDN 559;;;Dark Nebula;Serpens;"18h 32' 36""""";"-00º 58' 00""""";;4.1º x 4.1º;;;"18h 33' 54""""";"-00º 56' 47"""""
LBN 225;;LBN 077.11+12.11;HII Region;Cygnus;"19h 32' 00""""";"44º 36' 00""""";;3.5º x 50';;;"19h 32' 47""""";"44º 39' 18"""""
SH 2-137;;LBN 498,LBN 105.48+07.80;HII Region;Cepheus;"21h 57' 12""""";"64º 41' 00""""";;1.5º;;;"21h 57' 53""""";"64º 48' 14"""""
LBN 52;;LBN 013.41-01.41;HII Region;Sagittarius;"18h 20' 00""""";"-18º 00' 00""""";;30' x 5';;;"18h 21' 28""""";"-17º 59' 14"""""
SH 2-187;;LBN 630,LBN 126.70-00.80;HII Region;Cassiopeia;"01h 22' 58""""";"61º 48' 16""""";;10';;;"01h 24' 38""""";"61º 56' 07"""""
NGC 5634;;CL MELOTTE 126;Globular Cluster;Virgo;"14h 29' 37""""";"-05º 58' 35""""";09.maj;9' x 9';45890;;"14h 30' 57""""";"-06º 05' 15"""""
SH 2-205;;LBN 701,LBN 149.02-00.13;HII Region;Camelopardalis;"03h 52' 14""""";"53º 25' 00""""";;2º;;;"03h 54' 10""""";"53º 29' 25"""""
BARNARD 1;;;Molecular Cloud;Perseus;"03h 33' 16""""";"31º 07' 51""""";;30';;;"03h 34' 50""""";"31º 12' 51"""""
NGC 1545;;OCL 399.0;Open Cluster;Perseus;"04h 20' 49""""";"50º 13' 16""""";06.lut;35' x 35';45708;;"04h 22' 43""""";"50º 16' 46"""""
SH 2-133;;LBN 476,LBN 103.05+09.67;HII Region;Cepheus;"21h 29' 00""""";"64º 18' 00""""";;1.3º;;;"21h 29' 35""""";"64º 24' 39"""""
SH 2-254;;LBN 858,LBN 192.48-00.21,IRAS 06095+1800;HII Region;Orion;"06h 11' 59""""";"18º 03' 18""""";;11';;;"06h 13' 27""""";"18º 02' 50"""""
NGC 2300;;APG 114,MCG +14-04-031,PGC 21231,UGC 3798,Z 362-43,Z 363-29,Z 0716.0+8549;Lenticular Galaxy;Cepheus;"07h 32' 20""""";"85º 42' 32""""";11.0;11' x 11';45798;;"07h 40' 25""""";"85º 39' 06"""""
NGC 1746;;OCL 452,CL MELOTTE 28;Asterism;Taurus;"05h 03' 50""""";"23º 46' 12""""";06.sty;40';45860;;"05h 05' 22""""";"23º 48' 13"""""
LDN 721;;;Dark Nebula;Sagitta;"19h 31' 18""""";"16º 41' 00""""";;4.4º x 4.4º;;;"19h 32' 26""""";"16º 44' 17"""""
BARNARD 30;;;Dark Nebula;Orion;"05h 30' 18""""";"12º 46' 00""""";;1.1º;;;"05h 31' 43""""";"12º 47' 04"""""
OCL 137.0;;CL STEPHENSON 1;Open Cluster;Lyra;"18h 54' 16""""";"36º 53' 56""""";;30' x 30';;;"18h 55' 09""""";"36º 55' 55"""""
BARNARD 202;;LDN 1451;Dark Nebula;Aries;"03h 26' 06""""";"30º 10' 00""""";;25' x 25';;;"03h 27' 39""""";"30º 15' 13"""""
SH 2-96;;LBN 150,LBN 066.11+07.14;HII Region;Cygnus;"19h 28' 42""""";"32º 41' 00""""";;25';;;"19h 29' 39""""";"32º 44' 11"""""
LBN 223;;LBN 076.90+03.21;HII Region;Cygnus;"20h 13' 00""""";"40º 00' 00""""";;20' x 5';;;"20h 13' 54""""";"40º 04' 38"""""
LBN 853;;LBN 189.99-37.03;HII Region;Eridanus;"04h 01' 00""""";"00º 06' 00""""";;16º x 2º;;;"04h 02' 18""""";"00º 10' 09"""""
LBN 736;;LBN 157.76-08.90;HII Region;Perseus;"04h 03' 00""""";"40º 36' 00""""";;3.5º x 2º;;;"04h 04' 43""""";"40º 40' 05"""""
LBN 552;;LBN 112.55+20.79;HII Region;Cepheus;"20h 58' 00""""";"78º 36' 00""""";;35' x 10';;;"20h 57' 18""""";"78º 41' 53"""""
NGC 7209;;OCL 215.0,CL MELOTTE 238;Open Cluster;Lacerta;"22h 04' 54""""";"46º 30' 29""""";07.lip;37' x 37';45710;;"22h 05' 54""""";"46º 37' 52"""""
LDN 1072;;;Dark Nebula;Cepheus;"21h 16' 30""""";"56º 13' 00""""";;1.2º x 1.2º;;;"21h 17' 15""""";"56º 19' 22"""""
LDN 1637;;;Dark Nebula;Monoceros;"06h 43' 36""""";"03º 57' 00""""";;59' x 59';;;"06h 44' 56""""";"03º 55' 23"""""
LBN 303;;LBN 081.37+04.65;HII Region;Cygnus;"20h 20' 00""""";"44º 30' 00""""";;40' x 10';;;"20h 20' 50""""";"44º 34' 50"""""
LBN 534;;LBN 111.05-12.46;Reflection Nebula;Andromeda;"23h 40' 00""""";"48º 48' 00""""";;1.5º x 10';;;"23h 41' 14""""";"48º 56' 23"""""
NGC 2301;;OCL 540.0,CL MELOTTE 54;Open Cluster;Monoceros;"06h 51' 46""""";"00º 27' 54""""";6.0;19' x 19';45797;;"06h 53' 04""""";"00º 26' 00"""""
LBN 797;;LBN 172.72+02.04;HII Region;Auriga;"05h 35' 00""""";"36º 12' 00""""";;1º x 10';;;"05h 36' 42""""";"36º 12' 53"""""
LBN 429;;LBN 095.10-16.04;HII Region;Lacerta;"22h 30' 00""""";"39º 06' 00""""";;1.7º x 20';;;"22h 31' 07""""";"39º 13' 47"""""
LBN 775;;LBN 167.58-19.18;HII Region;Taurus;"04h 03' 00""""";"26º 36' 00""""";;50' x 20';;;"04h 04' 32""""";"26º 40' 05"""""
LBN 372;;LBN 085.71+04.34;HII Region;Cygnus;"20h 36' 00""""";"47º 54' 00""""";;30' x 2';;;"20h 36' 48""""";"47º 59' 18"""""
LDN 845;;;Dark Nebula;Cygnus;"20h 05' 00""""";"34º 22' 00""""";;27' x 27';;;"20h 05' 58""""";"34º 26' 23"""""
LBN 183;;LBN 073.32+03.23;HII Region;Cygnus;"20h 03' 00""""";"36º 54' 00""""";;15' x 5';;;"20h 03' 56""""";"36º 58' 19"""""
LBN 262;;LBN 079.51+06.87;HII Region;Cygnus;"20h 04' 00""""";"44º 06' 00""""";;1.3º x 30';;;"20h 04' 49""""";"44º 10' 21"""""
SH 2-63;;LBN 86,LBN 027.11-21.06;HII Region;Sagittarius;"19h 57' 42""""";"-14º 07' 00""""";;55';;;"19h 59' 07""""";"-14º 02' 51"""""
LDN 739;;;Dark Nebula;Vulpecula;"19h 24' 12""""";"20º 36' 00""""";;37' x 37';;;"19h 25' 18""""";"20º 39' 02"""""
LBN 669;;LBN 137.38+00.19;HII Region;Cassiopeia;"02h 50' 00""""";"59º 42' 00""""";;10' x 10';;;"02h 51' 57""""";"59º 48' 11"""""
LDN 818;;;Dark Nebula;Vulpecula;"20h 17' 06""""";"26º 09' 00""""";;3.2º x 3.2º;;;"20h 18' 10""""";"26º 13' 45"""""
SH 2-160;;LBN 551,LBN 112.52+03.75;HII Region;Cepheus;"23h 05' 48""""";"64º 40' 00""""";;1.3º;;;"23h 06' 49""""";"64º 48' 11"""""
NGC 7082;;OCL 209.0;Open Cluster;Cygnus;"21h 28' 45""""";"47º 06' 11""""";07.lut;23' x 23';45860;;"21h 29' 40""""";"47º 12' 50"""""
LBN 164;;LBN 071.03+01.54;HII Region;Cygnus;"20h 04' 00""""";"34º 06' 00""""";;33' x 15';;;"20h 04' 58""""";"34º 10' 21"""""
LDN 1624;;;Dark Nebula;Orion;"05h 57' 36""""";"02º 00' 00""""";;30' x 30';;;"05h 58' 55""""";"02º 00' 04"""""
NGC 1662;;;Open Cluster;Orion;"04h 48' 47""""";"10º 52' 55""""";06.kwi;1.2º x 1.2º;45767;;"04h 50' 11""""";"10º 55' 28"""""
LBN 344;;LBN 084.07+05.46;HII Region;Cygnus;"20h 25' 00""""";"47º 12' 00""""";;1.3º x 40';;;"20h 25' 48""""";"47º 16' 59"""""
LDN 1242;;;Dark Nebula;Cepheus;"22h 31' 12""""";"73º 15' 00""""";;53' x 53';;;"22h 31' 47""""";"73º 22' 48"""""
SH 2-282;;LBN 978,LBN 210.04-02.09;HII Region;Monoceros;"06h 38' 08""""";"01º 25' 12""""";;35';;;"06h 39' 26""""";"01º 23' 47"""""
BARNARD 3;;;Dark Nebula;Perseus;"03h 40' 00""""";"31º 58' 00""""";;20' x 20';;;"03h 41' 35""""";"32º 02' 48"""""
LBN 531;;LBN 110.25+11.38,CED 201;Reflection Nebula;Cepheus;"22h 13' 27""""";"70º 15' 18""""";;10' x 3';;;"22h 14' 02""""";"70º 22' 49"""""
LDN 638;;;Dark Nebula;Aquila;"18h 50' 24""""";"07º 19' 00""""";;4.5º x 4.5º;;;"18h 51' 37""""";"07º 20' 51"""""
LDN 572;;;Dark Nebula;Serpens;"18h 30' 36""""";"00º 02' 00""""";;3.8º x 3.8º;;;"18h 31' 53""""";"00º 03' 09"""""
LBN 718;;LBN 154.74-15.14;HII Region;Perseus;"03h 31' 00""""";"37º 42' 00""""";;3.5º x 30';;;"03h 32' 38""""";"37º 47' 04"""""
LBN 416;;LBN 091.66-02.54;HII Region;Cygnus;"21h 30' 00""""";"47º 42' 00""""";;1.3º x 10';;;"21h 30' 55""""";"47º 48' 41"""""
CL BASEL 8;;;Open Cluster;Monoceros;"06h 34' 12""""";"08º 00' 18""""";;37' x 37';;;"06h 35' 34""""";"07º 59' 01"""""
LBN 383;;LBN 086.49-03.76;HII Region;Cygnus;"21h 14' 00""""";"43º 12' 00""""";;20' x 10';;;"21h 14' 57""""";"43º 18' 19"""""
LBN 272;;LBN 079.99+07.37;HII Region;Cygnus;"20h 03' 00""""";"44º 48' 00""""";;1.5º x 7';;;"20h 03' 49""""";"44º 52' 19"""""
LBN 1036;;LBN 225.20+00.67;HII Region;Monoceros;"07h 16' 00""""";"-10º 36' 00""""";;1º x 30';;;"07h 17' 11""""";"-10º 38' 46"""""
NGC 6755;;OCL 96;Open Cluster;Aquila;"19h 07' 46""""";"04º 13' 26""""";07.maj;11' x 11';22.0;;"19h 09' 01""""";"04º 15' 54"""""
NGC 6866;;CL MELOTTE 229;Open Cluster;Cygnus;"20h 03' 56""""";"44º 09' 29""""";07.cze;13' x 13';45797;;"20h 04' 45""""";"44º 13' 50"""""
LBN 258;;LBN 079.32+00.22;HII Region;Cygnus;"20h 33' 00""""";"40º 18' 00""""";;30' x 10';;;"20h 33' 55""""";"40º 23' 13"""""
LDN 741;;;Dark Nebula;Vulpecula;"19h 21' 12""""";"21º 06' 00""""";;2.7º x 2.7º;;;"19h 22' 17""""";"21º 08' 56"""""
NGC 559;;OCL 322,C 8;Open Cluster;Cassiopeia;"01h 29' 33""""";"63º 18' 04""""";09.maj;9.7' x 9.7';45769;;"01h 31' 16""""";"63º 25' 50"""""
LBN 432;;LBN 095.55-12.55;HII Region;Lacerta;"22h 22' 00""""";"42º 18' 00""""";;4.5º x 30';;;"22h 23' 05""""";"42º 25' 40"""""
LBN 606;;LBN 122.23+26.05;HII Region;Ursa Minor;"22h 49' 00""""";"88º 48' 00""""";;2.3º x 1.2º;;;"22h 41' 12""""";"88º 55' 58"""""
LBN 63;;LBN 016.41-02.79;HII Region;Sagittarius;"18h 31' 00""""";"-16º 00' 00""""";;1.3º x 1º;;;"18h 32' 27""""";"-15º 58' 50"""""
